Ticker,Expected_return,Volatility,cik,calendarYear,period,Face_value,enterpriseValue,PD
ABB,0.380300512,0.224739058,1091587,2021,FY,4047000000,74010557889,5.13E-48
ADES,0.175186732,0.502529939,1515156,2021,FY,2587000,36200158.2,4.45E-08
ADV,-0.383642075,0.366123179,1776661,2021,FY,1069475000,4065084385,0.007843214
AE,0.143407901,0.53348801,2178,2021,FY,13146000,50202305.63,0.005973036
AMPY,1.301555942,0.967034605,1533924,2021,FY,115000000,348087907.4,0.022338386
AMR,3.539033465,0.719297533,1704715,2021,FY,225770000,1549780217,2.27E-13
AMTX,4.634102547,1.596420231,738214,2021,FY,15370,265720917,1.04E-16
APA,0.972452421,0.585654618,1841666,2021,FY,3961500000,19845259320,1.90E-05
AR,2.328844663,0.655113675,1433270,2021,FY,3001126500,10891041678,1.02E-07
ARKO,-0.023390023,0.362817414,1823794,2021,FY,1089400500,2383009214,0.027969688
ARKOW,12365.91337,0,1823794,2021,FY,1089400500,1995344080,0
ARLP,1.928491823,0.478402194,1086600,2021,FY,234694000,2195031232,1.28E-17
AROC,-0.119302973,0.372670673,1389050,2021,FY,773382500,2812151140,0.001550548
AURA,0.147297251,0.56612934,1501796,2021,FY,795000,98522619,1.03E-17
BATL,0.216286829,0.701936819,1282648,2021,FY,91696500,360518015.1,0.028224027
BKR,0.163365553,0.380321243,1701605,2021,FY,3383500000,21206999865,2.04E-07
BORR,0.259138235,0.832999404,1715497,2021,FY,957950000,2162578029,0.191578162
BP,0.317363689,0.340644596,313807,2021,FY,38545500000,1.44E+11,1.86E-06
BPT,0.859402485,0.68819664,850033,2021,FY,0,140374004.3,0
BRN,2.480830149,2.43474873,10048,2021,FY,113500,10857992.7,0.046988102
BRY,1.263173444,0.612641732,1705873,2021,FY,197283000,1085651289,2.83E-06
BSM,0.678361166,0.349616146,1621434,2021,FY,44500000,2393152950,7.13E-40
BTU,4.09732917,1.211619586,1064728,2021,FY,628700000,1325394000,0.000347638
CCLP,0.101459725,0.686688239,1449488,2021,FY,324394500,708256199.5,0.173217667
CDEV,2.933511174,0.85003224,1658566,2021,FY,422196500,3074461084,4.12E-08
CEI,-0.015831748,1.978121619,1309082,2021,FY,10750000,85128869.04,0.480455985
CEQP,0.400790007,0.390148884,1136352,2021,FY,0,2748022718,0
CHK,0.434096338,0.352471846,895126,2021,FY,1168000000,1402000000,0.057811197
CHKEL,0.871428571,0.608075103,895126,2021,FY,1168000000,1402000000,0.076450493
CHKEW,0.775999959,0.577890916,895126,2021,FY,1168000000,1402000000,0.085365775
CHRD,2.576666611,0.468838967,1486159,2021,FY,207517000,2889728057,7.26E-28
CIVI,1.627730191,0.563105084,1509589,2021,FY,18873000,1687162578,1.69E-26
CKX,0.121980163,0.411939555,352955,2021,FY,0,15074506.63,0
CLB,-0.121288748,0.530401058,1000229,2021,FY,119002000,1374567622,1.90E-05
CLMT,3.082515503,0.700399163,1340122,2021,FY,828450000,2663869205,5.37E-09
CLR,1.889209326,0.583128694,732834,2021,FY,3424183000,25555326437,8.02E-11
CNX,0.306155637,0.451981229,1070412,2021,FY,1148000500,5508511715,4.41E-05
COP,0.785994354,0.364239361,1163165,2021,FY,10567000000,1.33E+11,2.13E-19
CPE,2.59861036,0.871304215,928022,2021,FY,1347057500,5002899100,2.53E-05
CRC,0.80590797,0.458382139,1609253,2021,FY,0,3179180164,0
CRGY,-0.246135521,0.145303738,1866175,2021,FY,516809000,1450361562,4.78E-08
CRK,0.919039441,0.568227559,23194,2021,FY,1314135000,4432293020,0.000257536
CRT,0.372210606,0.414416412,881787,2021,FY,0,82740000,0
CTRA,0.190016166,0.383278528,858470,2021,FY,1562500000,10709008911,5.02E-08
CVI,0.121373415,0.694098993,1376139,2021,FY,846000000,3132800000,0.043269109
CVX,0.393857862,0.251942377,93410,2021,FY,15812500000,2.70E+11,2.96E-37
DEN,2.111290964,0.508935016,945764,2021,FY,30724000,27494363100,5.72E-67
DINO,0.239632847,0.437960353,1915657,2021,FY,1801348000,8928670555,3.40E-05
DK,-0.110159759,0.571770664,1694426,2021,FY,1285000000,2717035439,0.202976624
DKL,0.115198366,0.273929423,1552797,2021,FY,463331500,2857543108,2.18E-12
DMLP,0.850510245,0.337116464,1172358,2021,FY,1088000,781167032.3,2.97E-106
DVN,1.842604813,0.531176239,1090012,2021,FY,3367000000,39522349458,2.25E-15
DWSN,0.07369175,0.648202624,799165,2021,FY,3234000,34543893.22,0.000287063
E,0.35461282,0.241814518,1002242,2021,FY,19079500000,71079891967,5.83E-12
EC,0.001544422,0.338675484,1444406,2021,FY,5.21E+13,1.91E+14,0.000121787
EDR,0.453749975,0.419449299,1766363,2021,FY,3057384000,12311751597,1.38E-05
EGY,0.895528193,0.660345666,894627,2021,FY,9935500,204373100,1.04E-08
EME,0.35904082,0.300660045,105634,2021,FY,307192000,6049216937,3.11E-28
ENB,0.22086805,0.189543255,895728,2021,FY,41659500000,1.81E+11,5.76E-19
ENSV,-0.543850277,0.989150216,319458,2021,FY,13163500,23574350,0.675548869
